"Nome do anúncio",Alcance,Impressões,Frequência,"Valor usado (BRL)","Configuração de atribuição","Tipo de resultado",Resultados,"Custo por resultado","CPM (custo por 1.000 impressões)","CTR (todos)","Classificação de qualidade","Classificação da taxa de engajamento","Custo por lead","Valor médio de conversão de compra","Conversas por mensagem iniciadas","Custo por conversa por mensagem iniciada","CPC (custo por clique no link)","Cliques (todos)","Engajamento com a Página","Reproduções de 25% do vídeo","Reproduções de 50% do vídeo","Reproduções de 75% do vídeo","Reproduções de 95% do vídeo","Reproduções de 100% do vídeo","Início dos relatórios","Término dos relatórios"
"AD 01 - VIDEO - 16/09/2024",95498,178060,1.86454167,340.81,"Clique de 7 dias ou visualização de 1 dia",Alcance,95498,3.56876584,1.91401775,0.08929574,"Acima da média",–,,,,,170.405,159,6643,4553,1840,1163,890,839,2024-09-30,2024-10-29
"AD 01 - VIDEO - 01/10/2024",81964,159631,1.94757454,297.95,"Clique de 7 dias ou visualização de 1 dia",Alcance,81964,3.6351325,1.8664921,0.07767915,"Acima da média",–,,,,,148.975,124,4955,2660,1178,742,206,189,2024-09-30,2024-10-29
"AD 01 - STORY - 16/10/2024",59677,74129,1.24217035,119.48,"Clique de 7 dias ou visualização de 1 dia",Alcance,59677,2.00211137,1.61178486,0.04721499,"Na média",–,,,,,,35,5,,,,,,2024-09-30,2024-10-29
"AD 01 - VIDEO - 16/09/2024",6256,6449,1.03085038,18.48,"Clique de 7 dias ou visualização de 1 dia",Alcance,6256,2.95396419,2.86556055,0.13955652,"Acima da média",–,,,,,,9,236,170,73,43,34,33,2024-09-30,2024-10-29
"AD 02 - VIDEO - 16/09/2024",5014,5278,1.05265257,10.77,"Clique de 7 dias ou visualização de 1 dia",Alcance,5014,2.14798564,2.04054566,0.05683971,"Na média",–,,,,,,3,360,544,130,60,50,45,2024-09-30,2024-10-29
"AD 01 - VIDEO - 16/09/2024",4613,4638,1.00541947,12.56,"Clique de 7 dias ou visualização de 1 dia",Alcance,4613,2.72274008,2.70806382,0.15092712,"Na média",–,,,,,,7,152,86,47,29,11,11,2024-09-30,2024-10-29
"AD 03 - STORY - 15/10/2024",4526,4699,1.0382236,8.13,"Clique de 7 dias ou visualização de 1 dia",Alcance,4526,1.79628811,1.73015535,0.06384337,"Acima da média",–,,,,,,3,,,,,,,2024-09-30,2024-10-29
"AD 02 - VIDEO - 16/09/2024",545,549,1.00733945,1.62,"Clique de 7 dias ou visualização de 1 dia",Alcance,545,2.97247706,2.95081967,0,–,–,,,,,,0,30,49,12,3,2,2,2024-09-30,2024-10-29
"AD 04 - VÍDEO - 18 | 04",0,0,0,0,,,,,,,–,–,,,,,,0,,,,,,,2024-09-30,2024-10-29
"AD 03 - CARROSSEL 3  - 21 | 12",0,0,0,0,,,,,,,–,–,,,,,,0,,,,,,,2024-09-30,2024-10-29
"AD 02 - STORY - 05/06/2024",0,0,0,0,,,,,,,–,–,,,,,,0,,,,,,,2024-09-30,2024-10-29
"AD 03 - CARROSSEL ST - 24/05/2024",0,0,0,0,,,,,,,–,–,,,,,,0,,,,,,,2024-09-30,2024-10-29
"AD 04 - CARROSSEL 4  - 21 | 12",0,0,0,0,,,,,,,–,–,,,,,,0,,,,,,,2024-09-30,2024-10-29
"AD 01 - STORIES - 21 | 12",0,0,0,0,,,,,,,–,–,,,,,,0,,,,,,,2024-09-30,2024-10-29
"AD 01 - CARROSSEL FEED - 05/06/2024",0,0,0,0,,,,,,,–,–,,,,,,0,,,,,,,2024-09-30,2024-10-29
"AD 02 - IMAGEM STORIES",0,0,0,0,,,,,,,–,–,,,,,,0,,,,,,,2024-09-30,2024-10-29
"AD 03 CARROSSEL - 06 | 10",0,0,0,0,,,,,,,–,–,,,,,,0,,,,,,,2024-09-30,2024-10-29
"AD 03 - CARROSSEL - 17 | 08",0,0,0,0,,,,,,,–,–,,,,,,0,,,,,,,2024-09-30,2024-10-29
"AD 01 - IMAGEM ÚNICA - 14 | 07",0,0,0,0,,,,,,,–,–,,,,,,0,,,,,,,2024-09-30,2024-10-29
"AD 02 - CARROSSEL 2  - 21 | 12",0,0,0,0,,,,,,,–,–,,,,,,0,,,,,,,2024-09-30,2024-10-29
"AD 01 IMAGEM ÚNICA - 06 | 10",0,0,0,0,,,,,,,–,–,,,,,,0,,,,,,,2024-09-30,2024-10-29
"AD - 05 - CARROSSEL ST - 24/05/2024",0,0,0,0,,,,,,,–,–,,,,,,0,,,,,,,2024-09-30,2024-10-29
"AD 03 - IMAGEM ÚNICA - 18 | 04",0,0,0,0,,,,,,,–,–,,,,,,0,,,,,,,2024-09-30,2024-10-29
"AD 02 - CARROSSEL 1 - 18 | 04",0,0,0,0,,,,,,,–,–,,,,,,0,,,,,,,2024-09-30,2024-10-29
