"Nome do anúncio",Alcance,Impressões,Frequência,"Valor usado (BRL)","Cliques (todos)","CPC (todos)","CTR (todos)","CPM (custo por 1.000 impressões)","Engajamento com a Página","Conversas por mensagem iniciadas","Reproduções de 25% do vídeo","Reproduções de 50% do vídeo","Reproduções de 75% do vídeo","Reproduções de 95% do vídeo","Reproduções de 100% do vídeo","Orçamento da campanha","Tipo de orçamento da campanha","Tipo de resultado",Resultados,"Custo por resultado","Classificação de qualidade","Contatos por mensagem","Novos contatos de mensagem","CTR único (todos)","Custo por clique único (todos)","CPC (custo por clique no link)","Início dos relatórios","Término dos relatórios"
"AD 01 - VÍDEO STORIES - 04/04/24",42284,172197,4.07239145,641.46,109,5.88495413,0.06329959,3.72515201,17748,,29900,14375,9803,7925,7760,10.5,Diário,"Visualização contínua de 2 segundos do vídeo",25807,0.02485605,–,,,0.23649607,6.4146,128.292,2024-01-01,2024-11-03
"AD 01 - CARROSSEL - 18/06/2024",120917,253308,2.09489154,640.82,481,1.33226611,0.18988741,2.52980561,262,4,,,,,,20,Diário,Alcance,120917,5.29966837,–,2,2,0.37215611,1.42404444,2.92611872,2024-01-01,2024-11-03
"AD 01 - CARROSSEL FEED - 05/06/2024",167158,409103,2.44740306,562.85,625,0.90056,0.15277326,1.37581489,381,7,,,,,,15,Diário,Alcance,167158,3.36717357,–,1,5,0.35595066,0.94596639,1.71079027,2024-01-01,2024-11-03
"AD 01 - VIDEO - 16/09/2024",95498,178060,1.86454167,340.81,159,2.14345912,0.08929574,1.91401775,6643,,4553,1840,1163,890,839,10,Diário,Alcance,95498,3.56876584,"Acima da média",,,0.16335421,2.18467949,170.405,2024-01-01,2024-11-03
"AD 01 - VIDEO - 01/10/2024",81964,159631,1.94757454,297.95,124,2.40282258,0.07767915,1.8664921,4955,,2660,1178,742,206,189,10,Diário,Alcance,81964,3.6351325,"Acima da média",,,0.14518569,2.50378151,148.975,2024-01-01,2024-11-03
"AD 01 - IMAGEM STORIES",7283,27254,3.74213923,268.77,190,1.41457895,0.69714537,9.86167168,107,30,,,,,,15,Diário,"Conversas por mensagem iniciadas",30,8.959,–,,5,2.22435809,1.65907407,2.77082474,2024-01-01,2024-11-03
"AD - 05 - CARROSSEL ST - 24/05/2024",9216,26300,2.85373264,222.88,283,0.78756184,1.07604563,8.47452471,171,66,,,,,,26,Diário,"Conversas por mensagem iniciadas",66,3.3769697,–,,18,2.59331597,0.9325523,1.52657534,2024-01-01,2024-11-03
"AD 01 - VIDEO - 16/09/2024",50748,63471,1.25070939,188.24,103,1.82757282,0.16227884,2.96576389,2441,,1774,746,453,374,353,10,Diário,Alcance,50748,3.70930874,"Acima da média",,,0.19508158,1.90141414,14.48,2024-01-01,2024-11-03
"AD 01 - CARROSSEL",5727,12413,2.16745242,169.82,89,1.90808989,0.71699025,13.6808185,94,15,,,,,,15,Diário,"Conversas por mensagem iniciadas",15,11.32133333,–,,4,1.50165881,1.97465116,6.28962963,2024-01-01,2024-11-03
"AD 05 - CARROSSEL ST - 24/05/2024",6998,15513,2.21677622,140.26,180,0.77922222,1.16031715,9.04144911,113,37,1,,,,,26,Diário,"Conversas por mensagem iniciadas",37,3.79081081,–,,5,2.15775936,0.92887417,1.47642105,2024-01-01,2024-11-03
"AD 01 - VÍDEO STORIES - 04/04/24",11851,30621,2.58383259,132.85,30,4.42833333,0.09797198,4.33852585,3348,,5928,2708,1839,1523,1499,10.5,Diário,"Visualização contínua de 2 segundos do vídeo",5160,0.02574612,–,,,0.25314319,4.42833333,,2024-01-01,2024-11-03
"AD 01 - STORY - 16/10/2024",59677,74129,1.24217035,119.48,35,3.41371429,0.04721499,1.61178486,5,,,,,,,10,Diário,Alcance,59677,2.00211137,"Na média",,,0.05864906,3.41371429,,2024-01-01,2024-11-03
