Nome do anúncio,Alcance,Impressões,Frequência,Valor usado (BRL),Configuração de atribuição,Tipo de resultado,Resultados,Custo por resultado,CPM (custo por 1.000 impressões),CTR (todos),Classificação de qualidade,Classificação da taxa de engajamento,Conversas por mensagem iniciadas,Custo por conversa por mensagem iniciada,CPC (custo por clique no link),Cliques (todos),Engajamento com a Página,Reproduções de 25% do vídeo,Reproduções de 50% do vídeo,Reproduções de 75% do vídeo,Reproduções de 95% do vídeo,Reproduções de 100% do vídeo,Início dos relatórios,Término dos relatórios,Data de criação
AD 01 - CARROSSEL FEED - 05/06/2024,167158,409103,2.44740306,"R$ 562,85",Clique de 7 dias ou visualização de 1 dia,Alcance,167158.0,"R$ 3,37","R$ 1,38",0.15277326,–,–,7,80.40714286,"R$ 1,71",625,381.0,0.0,0.0,0.0,0.0,0.0,01/01/2024,30/10/2024,05/06/2024
AD 01 - CARROSSEL - 18/06/2024,120917,253308,2.09489154,"R$ 640,82",Clique de 7 dias ou visualização de 1 dia,Alcance,120917.0,"R$ 5,30","R$ 2,53",0.18988741,–,–,4,160.205,"R$ 2,93",481,262.0,0.0,0.0,0.0,0.0,0.0,01/01/2024,30/10/2024,18/06/2024
AD 01 - VIDEO - 16/09/2024,95498,178060,1.86454167,"R$ 340,81",Clique de 7 dias ou visualização de 1 dia,Alcance,95498.0,"R$ 3,57","R$ 1,91",0.08929574,Acima da média,–,,,"R$ 170,41",159,6643.0,4553.0,1840.0,1163.0,890.0,839.0,01/01/2024,30/10/2024,16/09/2024
AD 01 - VIDEO - 01/10/2024,81964,159631,1.94757454,"R$ 297,95",Clique de 7 dias ou visualização de 1 dia,Alcance,81964.0,"R$ 3,64","R$ 1,87",0.07767915,Acima da média,–,,,"R$ 148,97",124,4955.0,2660.0,1178.0,742.0,206.0,189.0,01/01/2024,30/10/2024,01/10/2024
AD 01 - STORY - 16/10/2024,59677,74129,1.24217035,"R$ 119,48",Clique de 7 dias ou visualização de 1 dia,Alcance,59677.0,"R$ 2,00","R$ 1,61",0.04721499,Na média,–,,,,35,5.0,0.0,0.0,0.0,0.0,0.0,01/01/2024,30/10/2024,16/10/2024
AD 01 - VIDEO - 16/09/2024,50748,63471,1.25070939,"R$ 188,24",Clique de 7 dias ou visualização de 1 dia,Alcance,50748.0,"R$ 3,71","R$ 2,97",0.16227884,Acima da média,–,,,"R$ 14,48",103,2441.0,1774.0,746.0,453.0,374.0,353.0,01/01/2024,30/10/2024,16/09/2024
AD 01 - VÍDEO STORIES - 04/04/24,42284,172197,4.07239145,"R$ 641,46",Clique de 7 dias ou visualização de 1 dia,Visualização contínua de 2 segundos do vídeo,25807.0,"R$ 0,02","R$ 3,73",0.06329959,–,–,,,"R$ 128,29",109,17748.0,29900.0,14375.0,9803.0,7925.0,7760.0,01/01/2024,30/10/2024,
AD 01 - VIDEO - 16/09/2024,34031,42545,1.25018366,"R$ 114,90",Clique de 7 dias ou visualização de 1 dia,Alcance,34031.0,"R$ 3,38","R$ 2,70",0.11517217,Acima da média,–,,,"R$ 57,45",49,1314.0,723.0,330.0,219.0,60.0,56.0,01/01/2024,30/10/2024,16/09/2024
AD 01 - STORY - 05/06/2024,33903,65337,1.92717459,"R$ 90,97",Clique de 7 dias ou visualização de 1 dia,Alcance,33903.0,"R$ 2,68","R$ 1,39",0.09489263,–,–,,,"R$ 3,25",62,34.0,0.0,0.0,0.0,0.0,0.0,01/01/2024,30/10/2024,05/06/2024
AD 02 - VIDEO - 16/09/2024,15838,17583,1.11017805,"R$ 50,11",Clique de 7 dias ou visualização de 1 dia,Alcance,15838.0,"R$ 3,16","R$ 2,85",0.11943354,Na média,–,,,"R$ 12,53",21,1388.0,2073.0,584.0,335.0,251.0,240.0,01/01/2024,30/10/2024,16/09/2024
AD 01 - VÍDEO STORIES - 04/04/24,11851,30621,2.58383259,"R$ 132,85",Clique de 7 dias ou visualização de 1 dia,Visualização contínua de 2 segundos do vídeo,5160.0,"R$ 0,03","R$ 4,34",0.09797198,–,–,,,,30,3348.0,5928.0,2708.0,1839.0,1523.0,1499.0,01/01/2024,30/10/2024,
